Jurisdiction,Week Ending Date,State Abbreviation,Year,Week,Age Group,Number of Deaths,Time Period,Type,Suppress,Note
United States,07/11/2015,US,2015,27,25-44 years,2528,2015-2019,Predicted (weighted),,
United States,07/18/2015,US,2015,28,25-44 years,2401,2015-2019,Predicted (weighted),,
United States,07/25/2015,US,2015,29,25-44 years,2353,2015-2019,Predicted (weighted),,
United States,08/01/2015,US,2015,30,25-44 years,2473,2015-2019,Predicted (weighted),,
United States,08/08/2015,US,2015,31,25-44 years,2458,2015-2019,Predicted (weighted),,
United States,08/15/2015,US,2015,32,25-44 years,2443,2015-2019,Predicted (weighted),,
United States,08/22/2015,US,2015,33,25-44 years,2384,2015-2019,Predicted (weighted),,
United States,08/29/2015,US,2015,34,25-44 years,2455,2015-2019,Predicted (weighted),,
United States,09/05/2015,US,2015,35,25-44 years,2596,2015-2019,Predicted (weighted),,
United States,09/12/2015,US,2015,36,25-44 years,2468,2015-2019,Predicted (weighted),,
United States,09/19/2015,US,2015,37,25-44 years,2392,2015-2019,Predicted (weighted),,
United States,09/26/2015,US,2015,38,25-44 years,2395,2015-2019,Predicted (weighted),,
United States,10/03/2015,US,2015,39,25-44 years,2390,2015-2019,Predicted (weighted),,
United States,10/10/2015,US,2015,40,25-44 years,2509,2015-2019,Predicted (weighted),,
United States,10/17/2015,US,2015,41,25-44 years,2460,2015-2019,Predicted (weighted),,
United States,10/24/2015,US,2015,42,25-44 years,2445,2015-2019,Predicted (weighted),,
United States,10/31/2015,US,2015,43,25-44 years,2357,2015-2019,Predicted (weighted),,
United States,11/07/2015,US,2015,44,25-44 years,2410,2015-2019,Predicted (weighted),,
United States,11/14/2015,US,2015,45,25-44 years,2398,2015-2019,Predicted (weighted),,
United States,11/21/2015,US,2015,46,25-44 years,2337,2015-2019,Predicted (weighted),,
United States,11/28/2015,US,2015,47,25-44 years,2286,2015-2019,Predicted (weighted),,
United States,12/05/2015,US,2015,48,25-44 years,2408,2015-2019,Predicted (weighted),,
United States,12/12/2015,US,2015,49,25-44 years,2443,2015-2019,Predicted (weighted),,
United States,12/19/2015,US,2015,50,25-44 years,2373,2015-2019,Predicted (weighted),,
United States,12/26/2015,US,2015,51,25-44 years,2374,2015-2019,Predicted (weighted),,
United States,01/02/2016,US,2015,52,25-44 years,2415,2015-2019,Predicted (weighted),,
United States,01/09/2016,US,2016,1,25-44 years,2470,2015-2019,Predicted (weighted),,
United States,01/16/2016,US,2016,2,25-44 years,2350,2015-2019,Predicted (weighted),,
United States,01/23/2016,US,2016,3,25-44 years,2427,2015-2019,Predicted (weighted),,
United States,01/30/2016,US,2016,4,25-44 years,2485,2015-2019,Predicted (weighted),,
United States,02/06/2016,US,2016,5,25-44 years,2514,2015-2019,Predicted (weighted),,
United States,02/13/2016,US,2016,6,25-44 years,2575,2015-2019,Predicted (weighted),,
United States,02/20/2016,US,2016,7,25-44 years,2585,2015-2019,Predicted (weighted),,
United States,02/27/2016,US,2016,8,25-44 years,2507,2015-2019,Predicted (weighted),,
United States,03/05/2016,US,2016,9,25-44 years,2555,2015-2019,Predicted (weighted),,
United States,03/12/2016,US,2016,10,25-44 years,2628,2015-2019,Predicted (weighted),,
United States,03/19/2016,US,2016,11,25-44 years,2590,2015-2019,Predicted (weighted),,
United States,03/26/2016,US,2016,12,25-44 years,2554,2015-2019,Predicted (weighted),,
United States,04/02/2016,US,2016,13,25-44 years,2534,2015-2019,Predicted (weighted),,
United States,04/09/2016,US,2016,14,25-44 years,2606,2015-2019,Predicted (weighted),,
United States,04/16/2016,US,2016,15,25-44 years,2578,2015-2019,Predicted (weighted),,
United States,04/23/2016,US,2016,16,25-44 years,2605,2015-2019,Predicted (weighted),,
United States,04/30/2016,US,2016,17,25-44 years,2365,2015-2019,Predicted (weighted),,
United States,05/07/2016,US,2016,18,25-44 years,2474,2015-2019,Predicted (weighted),,
United States,05/14/2016,US,2016,19,25-44 years,2607,2015-2019,Predicted (weighted),,
United States,05/21/2016,US,2016,20,25-44 years,2476,2015-2019,Predicted (weighted),,
United States,05/28/2016,US,2016,21,25-44 years,2605,2015-2019,Predicted (weighted),,
United States,06/04/2016,US,2016,22,25-44 years,2517,2015-2019,Predicted (weighted),,
United States,06/11/2016,US,2016,23,25-44 years,2640,2015-2019,Predicted (weighted),,
United States,06/18/2016,US,2016,24,25-44 years,2582,2015-2019,Predicted (weighted),,
United States,06/25/2016,US,2016,25,25-44 years,2662,2015-2019,Predicted (weighted),,
United States,07/02/2016,US,2016,26,25-44 years,2603,2015-2019,Predicted (weighted),,
United States,07/09/2016,US,2016,27,25-44 years,2744,2015-2019,Predicted (weighted),,
United States,07/16/2016,US,2016,28,25-44 years,2737,2015-2019,Predicted (weighted),,
United States,07/23/2016,US,2016,29,25-44 years,2687,2015-2019,Predicted (weighted),,
United States,07/30/2016,US,2016,30,25-44 years,2572,2015-2019,Predicted (weighted),,
United States,08/06/2016,US,2016,31,25-44 years,2746,2015-2019,Predicted (weighted),,
United States,08/13/2016,US,2016,32,25-44 years,2673,2015-2019,Predicted (weighted),,
United States,08/20/2016,US,2016,33,25-44 years,2578,2015-2019,Predicted (weighted),,
United States,08/27/2016,US,2016,34,25-44 years,2647,2015-2019,Predicted (weighted),,
United States,09/03/2016,US,2016,35,25-44 years,2699,2015-2019,Predicted (weighted),,
United States,09/10/2016,US,2016,36,25-44 years,2690,2015-2019,Predicted (weighted),,
United States,09/17/2016,US,2016,37,25-44 years,2567,2015-2019,Predicted (weighted),,
United States,09/24/2016,US,2016,38,25-44 years,2505,2015-2019,Predicted (weighted),,
United States,10/01/2016,US,2016,39,25-44 years,2644,2015-2019,Predicted (weighted),,
United States,10/08/2016,US,2016,40,25-44 years,2804,2015-2019,Predicted (weighted),,
United States,10/15/2016,US,2016,41,25-44 years,2637,2015-2019,Predicted (weighted),,
United States,10/22/2016,US,2016,42,25-44 years,2624,2015-2019,Predicted (weighted),,
United States,10/29/2016,US,2016,43,25-44 years,2618,2015-2019,Predicted (weighted),,
United States,11/05/2016,US,2016,44,25-44 years,2700,2015-2019,Predicted (weighted),,
United States,11/12/2016,US,2016,45,25-44 years,2612,2015-2019,Predicted (weighted),,
United States,11/19/2016,US,2016,46,25-44 years,2595,2015-2019,Predicted (weighted),,
United States,11/26/2016,US,2016,47,25-44 years,2624,2015-2019,Predicted (weighted),,
United States,12/03/2016,US,2016,48,25-44 years,2715,2015-2019,Predicted (weighted),,
United States,12/10/2016,US,2016,49,25-44 years,2699,2015-2019,Predicted (weighted),,
United States,12/17/2016,US,2016,50,25-44 years,2662,2015-2019,Predicted (weighted),,
United States,12/24/2016,US,2016,51,25-44 years,2667,2015-2019,Predicted (weighted),,
United States,12/31/2016,US,2016,52,25-44 years,2734,2015-2019,Predicted (weighted),,
United States,01/07/2017,US,2017,1,25-44 years,2842,2015-2019,Predicted (weighted),,
United States,01/14/2017,US,2017,2,25-44 years,2732,2015-2019,Predicted (weighted),,
United States,01/21/2017,US,2017,3,25-44 years,2828,2015-2019,Predicted (weighted),,
United States,01/28/2017,US,2017,4,25-44 years,2691,2015-2019,Predicted (weighted),,
United States,02/04/2017,US,2017,5,25-44 years,2599,2015-2019,Predicted (weighted),,
United States,02/11/2017,US,2017,6,25-44 years,2744,2015-2019,Predicted (weighted),,
United States,02/18/2017,US,2017,7,25-44 years,2608,2015-2019,Predicted (weighted),,
United States,02/25/2017,US,2017,8,25-44 years,2615,2015-2019,Predicted (weighted),,
United States,03/04/2017,US,2017,9,25-44 years,2660,2015-2019,Predicted (weighted),,
United States,03/11/2017,US,2017,10,25-44 years,2697,2015-2019,Predicted (weighted),,
United States,03/18/2017,US,2017,11,25-44 years,2613,2015-2019,Predicted (weighted),,
United States,03/25/2017,US,2017,12,25-44 years,2722,2015-2019,Predicted (weighted),,
United States,04/01/2017,US,2017,13,25-44 years,2633,2015-2019,Predicted (weighted),,
United States,04/08/2017,US,2017,14,25-44 years,2730,2015-2019,Predicted (weighted),,
United States,04/15/2017,US,2017,15,25-44 years,2701,2015-2019,Predicted (weighted),,
United States,04/22/2017,US,2017,16,25-44 years,2576,2015-2019,Predicted (weighted),,
United States,04/29/2017,US,2017,17,25-44 years,2642,2015-2019,Predicted (weighted),,
United States,05/06/2017,US,2017,18,25-44 years,2662,2015-2019,Predicted (weighted),,
United States,05/13/2017,US,2017,19,25-44 years,2591,2015-2019,Predicted (weighted),,
United States,05/20/2017,US,2017,20,25-44 years,2720,2015-2019,Predicted (weighted),,
United States,05/27/2017,US,2017,21,25-44 years,2620,2015-2019,Predicted (weighted),,
United States,06/03/2017,US,2017,22,25-44 years,2813,2015-2019,Predicted (weighted),,
United States,06/10/2017,US,2017,23,25-44 years,2696,2015-2019,Predicted (weighted),,
United States,06/17/2017,US,2017,24,25-44 years,2703,2015-2019,Predicted (weighted),,
United States,06/24/2017,US,2017,25,25-44 years,2777,2015-2019,Predicted (weighted),,
United States,07/01/2017,US,2017,26,25-44 years,2736,2015-2019,Predicted (weighted),,
United States,07/08/2017,US,2017,27,25-44 years,2806,2015-2019,Predicted (weighted),,
United States,07/15/2017,US,2017,28,25-44 years,2718,2015-2019,Predicted (weighted),,
United States,07/22/2017,US,2017,29,25-44 years,2720,2015-2019,Predicted (weighted),,
United States,07/29/2017,US,2017,30,25-44 years,2751,2015-2019,Predicted (weighted),,
United States,08/05/2017,US,2017,31,25-44 years,2745,2015-2019,Predicted (weighted),,
United States,08/12/2017,US,2017,32,25-44 years,2804,2015-2019,Predicted (weighted),,
United States,08/19/2017,US,2017,33,25-44 years,2724,2015-2019,Predicted (weighted),,
United States,08/26/2017,US,2017,34,25-44 years,2647,2015-2019,Predicted (weighted),,
United States,09/02/2017,US,2017,35,25-44 years,2711,2015-2019,Predicted (weighted),,
United States,09/09/2017,US,2017,36,25-44 years,2757,2015-2019,Predicted (weighted),,
United States,09/16/2017,US,2017,37,25-44 years,2657,2015-2019,Predicted (weighted),,
United States,09/23/2017,US,2017,38,25-44 years,2734,2015-2019,Predicted (weighted),,
United States,09/30/2017,US,2017,39,25-44 years,2742,2015-2019,Predicted (weighted),,
United States,10/07/2017,US,2017,40,25-44 years,2710,2015-2019,Predicted (weighted),,
United States,10/14/2017,US,2017,41,25-44 years,2696,2015-2019,Predicted (weighted),,
United States,10/21/2017,US,2017,42,25-44 years,2563,2015-2019,Predicted (weighted),,
United States,10/28/2017,US,2017,43,25-44 years,2582,2015-2019,Predicted (weighted),,
United States,11/04/2017,US,2017,44,25-44 years,2703,2015-2019,Predicted (weighted),,
United States,11/11/2017,US,2017,45,25-44 years,2772,2015-2019,Predicted (weighted),,
United States,11/18/2017,US,2017,46,25-44 years,2634,2015-2019,Predicted (weighted),,
United States,11/25/2017,US,2017,47,25-44 years,2727,2015-2019,Predicted (weighted),,
United States,12/02/2017,US,2017,48,25-44 years,2634,2015-2019,Predicted (weighted),,
United States,12/09/2017,US,2017,49,25-44 years,2671,2015-2019,Predicted (weighted),,
United States,12/16/2017,US,2017,50,25-44 years,2602,2015-2019,Predicted (weighted),,
United States,12/23/2017,US,2017,51,25-44 years,2851,2015-2019,Predicted (weighted),,
United States,12/30/2017,US,2017,52,25-44 years,2765,2015-2019,Predicted (weighted),,
United States,01/06/2018,US,2018,1,25-44 years,2937,2015-2019,Predicted (weighted),,
United States,01/13/2018,US,2018,2,25-44 years,2832,2015-2019,Predicted (weighted),,
United States,01/20/2018,US,2018,3,25-44 years,2671,2015-2019,Predicted (weighted),,
United States,01/27/2018,US,2018,4,25-44 years,2692,2015-2019,Predicted (weighted),,
United States,02/03/2018,US,2018,5,25-44 years,2752,2015-2019,Predicted (weighted),,
United States,02/10/2018,US,2018,6,25-44 years,2711,2015-2019,Predicted (weighted),,
United States,02/17/2018,US,2018,7,25-44 years,2644,2015-2019,Predicted (weighted),,
United States,02/24/2018,US,2018,8,25-44 years,2643,2015-2019,Predicted (weighted),,
United States,03/03/2018,US,2018,9,25-44 years,2754,2015-2019,Predicted (weighted),,
United States,03/10/2018,US,2018,10,25-44 years,2657,2015-2019,Predicted (weighted),,
United States,03/17/2018,US,2018,11,25-44 years,2629,2015-2019,Predicted (weighted),,
United States,03/24/2018,US,2018,12,25-44 years,2574,2015-2019,Predicted (weighted),,
United States,03/31/2018,US,2018,13,25-44 years,2592,2015-2019,Predicted (weighted),,
United States,04/07/2018,US,2018,14,25-44 years,2709,2015-2019,Predicted (weighted),,
United States,04/14/2018,US,2018,15,25-44 years,2630,2015-2019,Predicted (weighted),,
United States,04/21/2018,US,2018,16,25-44 years,2577,2015-2019,Predicted (weighted),,
United States,04/28/2018,US,2018,17,25-44 years,2565,2015-2019,Predicted (weighted),,
United States,05/05/2018,US,2018,18,25-44 years,2667,2015-2019,Predicted (weighted),,
United States,05/12/2018,US,2018,19,25-44 years,2766,2015-2019,Predicted (weighted),,
United States,05/19/2018,US,2018,20,25-44 years,2528,2015-2019,Predicted (weighted),,
United States,05/26/2018,US,2018,21,25-44 years,2630,2015-2019,Predicted (weighted),,
United States,06/02/2018,US,2018,22,25-44 years,2726,2015-2019,Predicted (weighted),,
United States,06/09/2018,US,2018,23,25-44 years,2826,2015-2019,Predicted (weighted),,
United States,06/16/2018,US,2018,24,25-44 years,2719,2015-2019,Predicted (weighted),,
United States,06/23/2018,US,2018,25,25-44 years,2717,2015-2019,Predicted (weighted),,
United States,06/30/2018,US,2018,26,25-44 years,2803,2015-2019,Predicted (weighted),,
United States,07/07/2018,US,2018,27,25-44 years,2843,2015-2019,Predicted (weighted),,
United States,07/14/2018,US,2018,28,25-44 years,2752,2015-2019,Predicted (weighted),,
United States,07/21/2018,US,2018,29,25-44 years,2691,2015-2019,Predicted (weighted),,
United States,07/28/2018,US,2018,30,25-44 years,2747,2015-2019,Predicted (weighted),,
United States,08/04/2018,US,2018,31,25-44 years,2771,2015-2019,Predicted (weighted),,
United States,08/11/2018,US,2018,32,25-44 years,2804,2015-2019,Predicted (weighted),,
United States,08/18/2018,US,2018,33,25-44 years,2716,2015-2019,Predicted (weighted),,
United States,08/25/2018,US,2018,34,25-44 years,2648,2015-2019,Predicted (weighted),,
United States,09/01/2018,US,2018,35,25-44 years,2695,2015-2019,Predicted (weighted),,
United States,09/08/2018,US,2018,36,25-44 years,2795,2015-2019,Predicted (weighted),,
United States,09/15/2018,US,2018,37,25-44 years,2738,2015-2019,Predicted (weighted),,
United States,09/22/2018,US,2018,38,25-44 years,2750,2015-2019,Predicted (weighted),,
United States,09/29/2018,US,2018,39,25-44 years,2555,2015-2019,Predicted (weighted),,
United States,10/06/2018,US,2018,40,25-44 years,2718,2015-2019,Predicted (weighted),,
United States,10/13/2018,US,2018,41,25-44 years,2579,2015-2019,Predicted (weighted),,
United States,10/20/2018,US,2018,42,25-44 years,2624,2015-2019,Predicted (weighted),,
United States,10/27/2018,US,2018,43,25-44 years,2624,2015-2019,Predicted (weighted),,
United States,11/03/2018,US,2018,44,25-44 years,2761,2015-2019,Predicted (weighted),,
United States,11/10/2018,US,2018,45,25-44 years,2589,2015-2019,Predicted (weighted),,
United States,11/17/2018,US,2018,46,25-44 years,2663,2015-2019,Predicted (weighted),,
United States,11/24/2018,US,2018,47,25-44 years,2629,2015-2019,Predicted (weighted),,
United States,12/01/2018,US,2018,48,25-44 years,2548,2015-2019,Predicted (weighted),,
United States,12/08/2018,US,2018,49,25-44 years,2674,2015-2019,Predicted (weighted),,
United States,12/15/2018,US,2018,50,25-44 years,2590,2015-2019,Predicted (weighted),,
United States,12/22/2018,US,2018,51,25-44 years,2614,2015-2019,Predicted (weighted),,
United States,12/29/2018,US,2018,52,25-44 years,2629,2015-2019,Predicted (weighted),,
United States,01/05/2019,US,2019,1,25-44 years,2796,2015-2019,Predicted (weighted),,
United States,01/12/2019,US,2019,2,25-44 years,2703,2015-2019,Predicted (weighted),,
United States,01/19/2019,US,2019,3,25-44 years,2570,2015-2019,Predicted (weighted),,
United States,01/26/2019,US,2019,4,25-44 years,2599,2015-2019,Predicted (weighted),,
United States,02/02/2019,US,2019,5,25-44 years,2542,2015-2019,Predicted (weighted),,
United States,02/09/2019,US,2019,6,25-44 years,2696,2015-2019,Predicted (weighted),,
United States,02/16/2019,US,2019,7,25-44 years,2632,2015-2019,Predicted (weighted),,
United States,02/23/2019,US,2019,8,25-44 years,2580,2015-2019,Predicted (weighted),,
United States,03/02/2019,US,2019,9,25-44 years,2745,2015-2019,Predicted (weighted),,
United States,03/09/2019,US,2019,10,25-44 years,2796,2015-2019,Predicted (weighted),,
United States,03/16/2019,US,2019,11,25-44 years,2735,2015-2019,Predicted (weighted),,
United States,03/23/2019,US,2019,12,25-44 years,2613,2015-2019,Predicted (weighted),,
United States,03/30/2019,US,2019,13,25-44 years,2680,2015-2019,Predicted (weighted),,
United States,04/06/2019,US,2019,14,25-44 years,2704,2015-2019,Predicted (weighted),,
United States,04/13/2019,US,2019,15,25-44 years,2754,2015-2019,Predicted (weighted),,
United States,04/20/2019,US,2019,16,25-44 years,2680,2015-2019,Predicted (weighted),,
United States,04/27/2019,US,2019,17,25-44 years,2686,2015-2019,Predicted (weighted),,
United States,05/04/2019,US,2019,18,25-44 years,2808,2015-2019,Predicted (weighted),,
United States,05/11/2019,US,2019,19,25-44 years,2628,2015-2019,Predicted (weighted),,
United States,05/18/2019,US,2019,20,25-44 years,2630,2015-2019,Predicted (weighted),,
United States,05/25/2019,US,2019,21,25-44 years,2700,2015-2019,Predicted (weighted),,
United States,06/01/2019,US,2019,22,25-44 years,2802,2015-2019,Predicted (weighted),,
United States,06/08/2019,US,2019,23,25-44 years,2865,2015-2019,Predicted (weighted),,
United States,06/15/2019,US,2019,24,25-44 years,2683,2015-2019,Predicted (weighted),,
United States,06/22/2019,US,2019,25,25-44 years,2785,2015-2019,Predicted (weighted),,
United States,06/29/2019,US,2019,26,25-44 years,2687,2015-2019,Predicted (weighted),,
United States,07/06/2019,US,2019,27,25-44 years,2912,2015-2019,Predicted (weighted),,
United States,07/13/2019,US,2019,28,25-44 years,2751,2015-2019,Predicted (weighted),,
United States,07/20/2019,US,2019,29,25-44 years,2747,2015-2019,Predicted (weighted),,
United States,07/27/2019,US,2019,30,25-44 years,2851,2015-2019,Predicted (weighted),,
United States,08/03/2019,US,2019,31,25-44 years,2768,2015-2019,Predicted (weighted),,
United States,08/10/2019,US,2019,32,25-44 years,2900,2015-2019,Predicted (weighted),,
United States,08/17/2019,US,2019,33,25-44 years,2786,2015-2019,Predicted (weighted),,
United States,08/24/2019,US,2019,34,25-44 years,2784,2015-2019,Predicted (weighted),,
United States,08/31/2019,US,2019,35,25-44 years,2730,2015-2019,Predicted (weighted),,
United States,09/07/2019,US,2019,36,25-44 years,2907,2015-2019,Predicted (weighted),,
United States,09/14/2019,US,2019,37,25-44 years,2641,2015-2019,Predicted (weighted),,
United States,09/21/2019,US,2019,38,25-44 years,2662,2015-2019,Predicted (weighted),,
United States,09/28/2019,US,2019,39,25-44 years,2804,2015-2019,Predicted (weighted),,
United States,10/05/2019,US,2019,40,25-44 years,2802,2015-2019,Predicted (weighted),,
United States,10/12/2019,US,2019,41,25-44 years,2663,2015-2019,Predicted (weighted),,
United States,10/19/2019,US,2019,42,25-44 years,2760,2015-2019,Predicted (weighted),,
United States,10/26/2019,US,2019,43,25-44 years,2714,2015-2019,Predicted (weighted),,
United States,11/02/2019,US,2019,44,25-44 years,2866,2015-2019,Predicted (weighted),,
United States,11/09/2019,US,2019,45,25-44 years,2796,2015-2019,Predicted (weighted),,
United States,11/16/2019,US,2019,46,25-44 years,2728,2015-2019,Predicted (weighted),,
United States,11/23/2019,US,2019,47,25-44 years,2756,2015-2019,Predicted (weighted),,
United States,11/30/2019,US,2019,48,25-44 years,2740,2015-2019,Predicted (weighted),,
United States,12/07/2019,US,2019,49,25-44 years,2842,2015-2019,Predicted (weighted),,
United States,12/14/2019,US,2019,50,25-44 years,2827,2015-2019,Predicted (weighted),,
United States,12/21/2019,US,2019,51,25-44 years,2794,2015-2019,Predicted (weighted),,
United States,12/28/2019,US,2019,52,25-44 years,2926,2015-2019,Predicted (weighted),,
United States,01/04/2020,US,2020,1,25-44 years,3028,2020,Predicted (weighted),,
United States,01/11/2020,US,2020,2,25-44 years,2919,2020,Predicted (weighted),,
United States,01/18/2020,US,2020,3,25-44 years,2860,2020,Predicted (weighted),,
United States,01/25/2020,US,2020,4,25-44 years,2852,2020,Predicted (weighted),,
United States,02/01/2020,US,2020,5,25-44 years,2797,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,02/08/2020,US,2020,6,25-44 years,2857,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,02/15/2020,US,2020,7,25-44 years,2853,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,02/22/2020,US,2020,8,25-44 years,2909,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,02/29/2020,US,2020,9,25-44 years,2921,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,03/07/2020,US,2020,10,25-44 years,3021,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,03/14/2020,US,2020,11,25-44 years,2921,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,03/21/2020,US,2020,12,25-44 years,3017,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,03/28/2020,US,2020,13,25-44 years,3170,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,04/04/2020,US,2020,14,25-44 years,3442,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,04/11/2020,US,2020,15,25-44 years,3674,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,04/18/2020,US,2020,16,25-44 years,3448,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,04/25/2020,US,2020,17,25-44 years,3505,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,05/02/2020,US,2020,18,25-44 years,3590,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,05/09/2020,US,2020,19,25-44 years,3543,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,05/16/2020,US,2020,20,25-44 years,3528,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,05/23/2020,US,2020,21,25-44 years,3579,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,05/30/2020,US,2020,22,25-44 years,3561,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,06/06/2020,US,2020,23,25-44 years,3627,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,06/13/2020,US,2020,24,25-44 years,3435,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,06/20/2020,US,2020,25,25-44 years,3530,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,06/27/2020,US,2020,26,25-44 years,3557,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,07/04/2020,US,2020,27,25-44 years,3656,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,07/11/2020,US,2020,28,25-44 years,3768,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,07/18/2020,US,2020,29,25-44 years,3934,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
United States,07/25/2020,US,2020,30,25-44 years,3844,2020,Predicted (weighted),,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
